,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
price_numeric,61963.0,229.917,4437.5893,7.0,30.0,40.0,77.0,135.0,221.0,500.0,1100.0,1085147.0,34908,36.0
availability_365,96871.0,144.9274,141.8083,0.0,0.0,0.0,0.0,96.0,288.0,364.0,365.0,365.0,0,0.0
number_of_reviews,96871.0,21.6576,50.3686,0.0,0.0,0.0,1.0,5.0,20.0,98.0,246.0,1902.0,0,0.0
review_scores_rating,72749.0,4.6847,0.4942,0.0,2.5,4.0,4.58,4.83,5.0,5.0,5.0,5.0,24122,24.9
review_scores_cleanliness,72740.0,4.65,0.5165,0.0,2.5,3.81,4.51,4.81,5.0,5.0,5.0,5.0,24131,24.9
review_scores_communication,72729.0,4.8123,0.4259,0.0,3.0,4.13,4.8,4.96,5.0,5.0,5.0,5.0,24142,24.9
review_scores_location,72705.0,4.7298,0.4097,0.0,3.0,4.0,4.65,4.85,5.0,5.0,5.0,5.0,24166,24.9
review_scores_value,72705.0,4.6162,0.5118,0.0,2.33,3.88,4.5,4.75,4.94,5.0,5.0,5.0,24166,24.9
host_tenure_years,96830.0,7.6396,3.8935,0.0055,0.2656,0.9144,4.0575,8.5695,10.5791,13.1964,14.3025,17.0459,41,0.0
occupancy_proxy,96871.0,0.6028,0.3885,0.0,0.0,0.0027,0.211,0.737,1.0,1.0,1.0,1.0,0,0.0
reviews_per_month_calc,72749.0,0.6364,1.1138,0.0,0.0,0.0,0.0,0.1667,0.75,2.9167,5.3333,32.5,24122,24.9
host_portfolio_size,96871.0,16.6855,53.1303,1.0,1.0,1.0,1.0,2.0,8.0,76.0,277.0,500.0,0,0.0
host_response_rate,65164.0,0.9034,0.2329,0.0,0.0,0.2,0.95,1.0,1.0,1.0,1.0,1.0,31707,32.7
